 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
2.439817,-0.304688,5.46875,-682.011935,3450.008428,-3.6105528,64.8046875,-2046.035805,10350.025284
2.450415,-0.304688,0,-647.291087,3472.084841,-3.6105528,0,-1941.873261,10416.254523
2.459772,-0.265625,3.90625,-636.496722,1079.436476,-3.14765625,46.2890625,-1909.490166,3238.309428
2.470254,-0.265625,0,-573.263013,6323.370897,-3.14765625,0,-1719.789039,18970.112691
2.479804,-0.265625,0,-556.932416,1633.059682,-3.14765625,0,-1670.797248,4899.179046
2.490596,-0.265625,0,-538.459467,1847.294879,-3.14765625,0,-1615.378401,5541.884637
2.500244,-0.265625,0,-511.11679,2734.267728,-3.14765625,0,-1533.35037,8202.803184
2.510358,-0.265625,0,-507.292327,382.446298,-3.14765625,0,-1521.876981,1147.338894
2.519766,-0.265625,0,-487.246327,2004.599982,-3.14765625,0,-1461.738981,6013.799946
2.529904,-0.265625,0,-466.875204,2037.112312,-3.14765625,0,-1400.625612,6111.336936
2.539808,-0.265625,0,-462.481212,439.399256,-3.14765625,0,-1387.443636,1318.197768
2.550702,-0.265625,0,-448.55118,1393.003201,-3.14765625,0,-1345.65354,4179.009603
2.559767,-0.265625,0,-457.414692,-886.351247,-3.14765625,0,-1372.244076,-2659.053741
2.570021,-0.265625,0,-447.177194,1023.74982,-3.14765625,0,-1341.531582,3071.24946
2.579786,-0.265625,0,-456.923534,-974.633988,-3.14765625,0,-1370.770602,-2923.901964
2.590156,-0.265625,0,-438.914126,1800.94074,-3.14765625,0,-1316.742378,5402.82222
2.599777,-0.265625,0,-433.153575,576.055185,-3.14765625,0,-1299.460725,1728.165555
2.61018,-0.265625,0,-432.198811,95.476315,-3.14765625,0,-1296.596433,286.428945
2.619788,-0.265625,0,-447.217191,-1501.837958,-3.14765625,0,-1341.651573,-4505.513874
2.630128,-0.265625,0,-441.871769,534.542222,-3.14765625,0,-1325.615307,1603.626666
2.63978,-0.265625,0,-430.292599,1157.916985,-3.14765625,0,-1290.877797,3473.750955
2.650602,-0.265625,0,-443.616361,-1332.37616,-3.14765625,0,-1330.849083,-3997.12848
2.659786,-0.265625,0,-436.423942,719.241835,-3.14765625,0,-1309.271826,2157.725505
2.670128,-0.265625,0,-426.384684,1003.925796,-3.14765625,0,-1279.154052,3011.777388
2.679801,-0.265625,0,-437.61761,-1123.292547,-3.14765625,0,-1312.85283,-3369.877641
2.690188,-0.265625,0,-429.000429,861.718073,-3.14765625,0,-1287.001287,2585.154219
2.699785,-0.265625,0,-442.340868,-1334.043887,-3.14765625,0,-1327.022604,-4002.131661
2.709904,-0.265625,0,-432.086763,1025.410485,-3.14765625,0,-1296.260289,3076.231455
2.719792,-0.265625,0,-436.862454,-477.569083,-3.14765625,0,-1310.587362,-1432.707249
2.729893,-0.265625,0,-438.058525,-119.607076,-3.14765625,0,-1314.175575,-358.821228
2.739814,-0.34375,-7.8125,-436.986541,107.19838,-4.0734375,-92.578125,-1310.959623,321.59514
2.750609,-0.34375,0,-450.968455,-1398.191394,-4.0734375,0,-1352.905365,-4194.574182
2.759792,-0.359375,-1.5625,-478.102888,-2713.443298,-4.25859375,-18.515625,-1434.308664,-8140.329894
2.770128,-0.359375,0,-507.395286,-2929.239856,-4.25859375,0,-1522.185858,-8787.719568
2.779814,-0.398438,-3.90625,-548.200532,-4080.524546,-4.7214903,-46.2890625,-1644.601596,-12241.573638
2.790031,-0.398438,0,-559.612748,-1141.221622,-4.7214903,0,-1678.838244,-3423.664866
2.799783,-0.421875,-2.34375,-582.123003,-2251.025461,-4.99921875,-27.7734375,-1746.369009,-6753.076383
2.810166,-0.421875,0,-618.085172,-3596.216955,-4.99921875,0,-1854.255516,-10788.650865
2.81979,-0.460938,-3.90625,-635.828962,-1774.378987,-5.4621153,-46.2890625,-1907.486886,-5323.136961
2.830072,-0.460938,0,-683.760684,-4793.172175,-5.4621153,0,-2051.282052,-14379.516525
